number,category,questionText,questionCode,answerText,answerCode,mdnLink,timesSkipped,timesEdited,lastUpdated
266,Methods 2,What does  <code>Math.random()</code> do?,,returns a random number from 0 to 1 not including 1,,https://www.google.com/search?q=Math.random(),,,
267,Methods 2,"What does  <code>Math.max(a,b,c,d) / Math.min(a,b,c,d)</code> do?",,"returns the greatest/smallest from the arbitrary number of argumentsalert (Math.max(3, 5, -10, 0, 1) // 5",,"https://www.google.com/search?q=Math.max(a,b,c,d) / Math.min(a,b,c,d)",,,
268,Methods 2,What does  <code>str.length</code> do?,,"returns the number of characters in the given stringhowever, you cannot call it by str.length()str.length is a numeric property, not a function",,https://www.google.com/search?q=str.length,,,
269,Methods 2,What does  <code>str.charAt(position)</code> do?,,the first character starts from 0 indexex. let str = 'Hello'alert(str[0]); // Halert(str.charAt(0)); // Hthe last characterstr[str.length - 1]; // o,,https://www.google.com/search?q=str.charAt(position),,,
270,Methods 2,What does  <code>str.toLowerCase()</code> do?,,Returns the calling string value converted to lowercase.,,https://www.google.com/search?q=str.toLowerCase(),,,
271,Methods 2,"What does  <code>str.includes(substring, position)</code> do?",,"returns true or false depending on whether the str contains substr withinalert(""Widget with id"".includes(""Widget)); // truealert(""Hello"".includes(""Bye"")) // falsesecond argument is the position to start searching from",,"https://www.google.com/search?q=str.includes(substring, position)",,,
272,Methods 2,"What does  <code>str.slice(start [,end])</code> do?",,"
Returns the part of the string from start to, but not including end
If there is no second argument, then slice goes till the end of the string

let str = 'stringify';
str.slice(0, 5)); // strin, the substring from 0 to 5, not including 5
str.slice(0, 1)); // s, from 0 to 1, not including 1

negative values also possible to start from the end!!
let str = 'stringify';
// start from the 4th position from the right, end at the 1st from the right

alert(str.slice(-4, -1)); // gif",,"https://www.google.com/search?q=str.slice(start [,end])",,,
273,Methods 2,What does  <code>str.trim()</code> do?,,removes whitespace from the beginning and end of the string,,https://www.google.com/search?q=str.trim(),,,
274,Methods 2,What does  <code>arr.push(elem)</code> do?,,"add to the END of an arrayreturns the new length of an arrayconst animals const animals = ['pigs', 'goats', 'sheep'];const count = animals.push('cows');console.log(count);// expected output: 4",,https://www.google.com/search?q=arr.push(elem),,,
275,Methods 2,What does  <code>arr.shift(); no arguments</code> do?,,"removes the first element from the array and returns that removed elementreturns undefined if the array is emptyconst array1 = [1, 2, 3];const firstElement = array1.shift();console.log(array1);// expected output: Array [2, 3]console.log(firstElement);// expected output: 1",,https://www.google.com/search?q=arr.shift(); no arguments,,,
276,Methods 2,What does  <code>arr.find(function)</code> do?,,"used if we have an array of objects and want to find an object with a specific conditionreturns the FIRST value that satisfies the conditionconst array1 = [5, 12, 8, 130, 44];const found = array1.find(element => element > 10);console.log(found);// expected output: 12",,https://www.google.com/search?q=arr.find(function),,,
277,Methods 2,"What does  <code>arr.forEach(callback[, thisArg])</code> do?",,allows you to run a callback function for every element in the array,,"https://www.google.com/search?q=arr.forEach(callback[, thisArg])",,,
278,Methods 2,"What does  <code>arr.indexOf(item, from)</code> do?",,"The indexOf() method returns the first index at which a given element can be found in the array, or -1 if it is not present.

let arr = [1, 2, 3, 5, 1]
alert(arr.indexOf(1)); // 0
alert(arr.indexOf(3)); // 2
alert(arr.indexOf(4)) // -1
alert(arr.indexOf(1, 2) // 4",,"https://www.google.com/search?q=arr.indexOf(item, from)",,,
279,Methods 2,"What does  <code>arr.slice(start, end)</code> do?",,"returns a NEW array copying to it all items from index start to end, not including the end.

Both start and end can be negative

It creates subarrays.

ex.) let arr = ['t', 'e', 's', 't'];
alert(arr.slice(1,3)) // e, s
alert(arr.slice(-2)) // s, t",,"https://www.google.com/search?q=arr.slice(start, end)",,,
280,Methods 2,"What does  <code>arr.concat(array1, array2, valueN)</code> do?",,"const new_array = old_array.concat([value1[, value2[, ...[, valueN]]]])

used to merge 2 or more arrays together with any number of arguments

returns a new array by copying the old array & new values",,"https://www.google.com/search?q=arr.concat(array1, array2, valueN)",,,
281,Methods 2,"What does  <code>arr.includes(item, from)</code> do?",,"returns true if the item is included in the arrayif we want to check for inclusion and don't want to know the index, we prefer to choose the inlcludes method",,"https://www.google.com/search?q=arr.includes(item, from)",,,
282,Methods 2,What does  <code>What methods can you use to transform an array?</code> do?,,"map(callback)sort(callback)reverse()split/join: convert string to arrayreduce(callback, initialValue)",,https://www.google.com/search?q=What methods can you use to transform an array?,,,
283,Methods 2,"What does  <code>arr.filter(callbackFxn(element, index, args))</code> do?",,"returns a NEW array of all matching elementsconst words = ['spray', 'limit', 'elite', 'exuberant', 'destruction', 'present'];const result = words.filter(word => word.length > 6);console.log(result);// expected output: Array [""exuberant"", ""destruction"", ""present""]",,"https://www.google.com/search?q=arr.filter(callbackFxn(element, index, args))",,,
284,Methods 2,"What does  <code>arr.map(callback(item, index))</code> do?",,"creates a new array populated with the results of calling a provided function on every element in the calling array.const array1 = [1, 4, 9, 16];// pass a function to mapconst map1 = array1.map(x => x * 2);console.log(map1);// expected output: Array [2, 8, 18, 32]",,"https://www.google.com/search?q=arr.map(callback(item, index))",,,
285,Methods 2,What does  <code>arr.sort()</code> do?,,"sorts the elements of an array in place and returns the sorted array. The default sort order is ascending, built upon converting the elements into strings, then comparing their sequences of UTF-16 code units values.

const months = ['March', 'Jan', 'Feb', 'Dec'];
months.sort();
console.log(months);
// expected output: Array [""Dec"", ""Feb"", ""Jan"", ""March""]

const array1 = [1, 30, 4, 21, 100000];
array1.sort();
console.log(array1);
// expected output: Array [1, 100000, 21, 30, 4]",,https://www.google.com/search?q=arr.sort(),,,
286,Methods 2,"What does  <code>arr.splice(index, deleteCount, elem 1, ... elemN)</code> do?",,"Starts from position index: removes deleteCount elements and then inserts elem1, ..., elemN at their place.

Returns the array of removed elements

ex.) arr.splice(1, 0, ""hello"", ""Yes"")

starting at index 1, insert ""hello"" and ""yes""

Negative indexes are allowed, it means that you specify the position from the end of the array",,"https://www.google.com/search?q=arr.splice(index, deleteCount, elem 1, ... elemN)",,,
287,Methods 2,What does  <code>arr.unshift(elements)</code> do?,,add new elem to the beginning of the array and returns the new length of the array,,https://www.google.com/search?q=arr.unshift(elements),,,
288,Methods 2,What does  <code>arr.pop(); no arguments</code> do?,,"removes the last element from an array and returns that elementconst plants = ['broccoli', 'cauliflower', 'cabbage', 'kale', 'tomato'];console.log(plants.pop());// expected output: ""tomato""console.log(plants);// expected output: Array [""broccoli"", ""cauliflower"", ""cabbage"", ""kale""]",,https://www.google.com/search?q=arr.pop(); no arguments,,,
289,Methods 2,What does  <code>methods that work with the end of the array</code> do?,,pop: removes last elem and returns itpush: adds new elem to end of array and returns the length,,https://www.google.com/search?q=methods that work with the end of the array,,,
290,Methods 2,What does  <code>methods that work with beginning of array</code> do?,,shift: remove first elem and returns itunshift: add new elem to the beginning of the array and returns the new length of the array,,https://www.google.com/search?q=methods that work with beginning of array,,,
291,Methods 2,"What does  <code>str.split(separator, limit)</code> do?",,"method turns a String into an array of strings, by separating the string at each instance of a specified separator string.

var str = 'The quick brown fox jumps over the lazy dog.';
var words = str.split(' ');
console.log(words[3]);
// expected output: ""fox""
var chars = str.split('');
console.log(chars[8]);
// expected output: ""k""
var strCopy = str.split();
console.log(strCopy);
// expected output: Array [""The quick brown fox jumps over the lazy dog.""]",,"https://www.google.com/search?q=str.split(separator, limit)",,,
292,Methods 2,"What does  <code>When do we use forEach, for loops, or for..of?</code> do?",,When we need to iterate over an array,,"https://www.google.com/search?q=When do we use forEach, for loops, or for..of?",,,
293,Methods 2,What does  <code>Which methods can we use to add/remove elements?</code> do?,,"push(...items)pop()shift()unshift(...items)splice(position, deleteCount, ...items)slice(start, end)concat(...items)",,https://www.google.com/search?q=Which methods can we use to add/remove elements?,,,
294,Methods 2,What does  <code>When do we use .map?</code> do?,,When we need to iterate and RETURN the data for each element,,https://www.google.com/search?q=When do we use .map?,,,
295,Methods 2,What does  <code>Which methods can you use to search among elements?</code> do?,,"indexOf(item, position)includes(value)find/filter(callback)findIndex()",,https://www.google.com/search?q=Which methods can you use to search among elements?,,,
296,Methods 2,What does  <code>Object.keys(obj)</code> do?,,"returns an array of keys (properties)

const object1 = {
a: 'somestring',
b: 42,
c: false
};
console.log(Object.keys(object1));
// expected output: Array [""a"", ""b"", ""c""]",,https://www.google.com/search?q=Object.keys(obj),,,
297,Methods 2,What does  <code>JSON.stringify(obj)</code> do?,,"takes the object and converts it into a string

let student = { name: 'John', age: 30, isAdmin: false, courses: ['html', 'css', 'js'], wife: null };

let json = JSON.stringify(student);
alert(typeof json); //

we've got a string! alert(json);
/ JSON-encoded object: { ""name"": ""John"", ""age"": 30, ""isAdmin"": false, ""courses"": [""html"", ""css"", ""js""], ""wife"": null } /",,https://www.google.com/search?q=JSON.stringify(obj),,,
298,Methods 2,"What does  <code>JSON.parse(str, [reviver])</code> do?",,takes a string and then turns it back into JSON object,,"https://www.google.com/search?q=JSON.parse(str, [reviver])",,,
299,Methods 2,What does  <code>Rest parameters (...args)</code> do?,,"
A function can be called with any number of arguments even if that function has excessive arguments than originally defined. But the ones that are defined will be the only ones that are counted.

allows us to represent an indefinite number of arguments as an array. this is how we get an array from a list of parameters

Use case: to create functions that accept any number of arguments

function sum(...theArgs) {
return theArgs.reduce((previous, current) => {
return previous + current;
});
}

console.log(sum(1, 2, 3));
// expected output: 6
console.log(sum(1, 2, 3, 4));
// expected output: 10",,https://www.google.com/search?q=Rest parameters (...args),,,
300,Methods 2,What does  <code>Spread syntax</code> do?,,"- UNPACKS/SPREADS the collected items into single elements
- can be used in conjunction w normal values, multiple iterables like (...arr1, ...arr2))
- can also be used to MERGE arrays
- can be used to turn string into array of characters

Use case:
- pass an array into functions that normally require a list of many arguments

allows an iterable (like an array or string) to be EXPANDED in places where 0 or more:
- arguments or elements are expected (for functions)
- elements (for array literals)
- object expression for more key-value pairs (for object literals)

function sum(x, y, z) {
return x + y + z;
}
const numbers = [1, 2, 3];

console.log(sum(...numbers));
// expected output: 6

console.log(sum.apply(null, numbers));
// expected output: 6",,https://www.google.com/search?q=Spread syntax,,,
301,Methods 2,"What does  <code>setTimeout()let timerId = setTimeout(function, [delay], [arg1], [arg2], ...)</code> do?",,"allows us to run a function once after the interval of time

function: function to execute
delay: the delay before run, in milliseconds (1000ms = 1s)
arg1, arg2: arguments for the function

returns a timerId",,"https://www.google.com/search?q=setTimeout()let timerId = setTimeout(function, [delay], [arg1], [arg2], ...)",,,
302,Methods 2,What does  <code>clearTimeout()</code> do?,,we can use the timerId of setTimeout() or setInterval() to cancel the execution,,https://www.google.com/search?q=clearTimeout(),,,
303,Methods 2,"What does  <code>setInterval()let timerId = setInterval(function, [delay], [arg1], [arg2], ...)</code> do?",,"allows us to run a function repeatedly starting after the interval of time, then repeating continuously at that interval",,"https://www.google.com/search?q=setInterval()let timerId = setInterval(function, [delay], [arg1], [arg2], ...)",,,
304,Strings,What does  <code>trim()</code> do?,,Removes whitespace from both ends of a string,,https://www.google.com/search?q=trim(),,,
305,Strings,What does  <code>toUpperCase()</code> do?,,Converts a string to uppercase letters,,https://www.google.com/search?q=toUpperCase(),,,
306,Strings,What does  <code>toString()</code> do?,,Returns the value of a String object,,https://www.google.com/search?q=toString(),,,
307,Strings,What does  <code>toLowerCase()</code> do?,,Converts a string to lowercase letters,,https://www.google.com/search?q=toLowerCase(),,,
308,Strings,What does  <code>toLocaleLowerCase()</code> do?,,"Converts a string to lowercase letters, according to the host's locale",,https://www.google.com/search?q=toLocaleLowerCase(),,,
309,Strings,What does  <code>substring()</code> do?,,"Extracts the characters from a string, between two specified indices",,https://www.google.com/search?q=substring(),,,
310,Strings,What does  <code>substr()</code> do?,,"Extracts the characters from a string, beginning at a specified start position, and through the specified number of character",,https://www.google.com/search?q=substr(),,,
311,Strings,What does  <code>startsWith()</code> do?,,Checks whether a string begins with specified characters,,https://www.google.com/search?q=startsWith(),,,
312,Strings,What does  <code>split()</code> do?,,Splits a string into an array of substrings,,https://www.google.com/search?q=split(),,,
313,Strings,What does  <code>slice()</code> do?,,Extracts a part of a string and returns a new string,,https://www.google.com/search?q=slice(),,,
314,Strings,What does  <code>search()</code> do?,,"Searches a string for a specified value, or regular expression, and returns the position of the match",,https://www.google.com/search?q=search(),,,
315,Strings,What does  <code>replace()</code> do?,,"Searches a string for a specified value, or a regular expression, and returns a new string where the specified values are replaced",,https://www.google.com/search?q=replace(),,,
316,Strings,What does  <code>repeat()</code> do?,,Returns a new string with a specified number of copies of an existing string,,https://www.google.com/search?q=repeat(),,,
317,Strings,What does  <code>match()</code> do?,,"Searches a string for a match against a regular expression, and returns the matches",,https://www.google.com/search?q=match(),,,
318,Strings,What does  <code>localeCompare()</code> do?,,Compares two strings in the current locale,,https://www.google.com/search?q=localeCompare(),,,
319,Strings,What does  <code>lastIndexOf()</code> do?,,Returns the position of the last found occurrence of a specified value in a string,,https://www.google.com/search?q=lastIndexOf(),,,
320,Strings,What does  <code>indexOf()</code> do?,,Returns the position of the first found occurrence of a specified value in a string,,https://www.google.com/search?q=indexOf(),,,
321,Strings,What does  <code>includes()</code> do?,,Checks whether a string contains the specified string/characters,,https://www.google.com/search?q=includes(),,,
322,Strings,What does  <code>fromCharCode()</code> do?,,Converts Unicode values to characters,,https://www.google.com/search?q=fromCharCode(),,,
323,Strings,What does  <code>endsWith()</code> do?,,Checks whether a string ends with specified string/characters,,https://www.google.com/search?q=endsWith(),,,
324,Strings,What does  <code>concat()</code> do?,,"Joins two or more strings, and returns a new joined strings",,https://www.google.com/search?q=concat(),,,
325,Strings,What does  <code>charCodeAt()</code> do?,,Returns the Unicode of the character at the specified index,,https://www.google.com/search?q=charCodeAt(),,,
326,Strings,What does  <code>charAt()</code> do?,,Returns the character at the specified index (position),,https://www.google.com/search?q=charAt(),,,
327,Native ArrayMethods,"What does  <code>array.fill(element, start, end)</code> do?",,Fills all the elements of an array from a start index to an end index with a static value.,,"https://www.google.com/search?q=array.fill(element, start, end)",,,
328,Native ArrayMethods,What does  <code>array.every()</code> do?,,Tests whether all elements in the array pass the test implemented by the provided function.,,https://www.google.com/search?q=array.every(),,,
329,Native ArrayMethods,What does  <code>array.entries()</code> do?,,Returns a new Array Iterator object that contains the key/value pairs for each index in the array. ???,,https://www.google.com/search?q=array.entries(),,,
330,Native ArrayMethods,What does  <code>array.map(callback)</code> do?,,Creates a new array with the results of calling a provided function on every element in this array.,,https://www.google.com/search?q=array.map(callback),,,
331,Native ArrayMethods,What does  <code>array.copyWithin()how to use?</code> do?,,"Shallow copies part of an array to another location in the same array and returns it, without modifying its size. ???",,https://www.google.com/search?q=array.copyWithin()how to use?,,,
332,Native ArrayMethods,What does  <code>array.concat(another_array)</code> do?,,Returns a new array comprised of the array on which it is called joined with the array(s) and/or value(s) provided as arguments.,,https://www.google.com/search?q=array.concat(another_array),,,
333,Native ArrayMethods,"What does  <code>Array.of(element1, element2, element3)</code> do?",,"Creates a new Array instance with a variable number of arguments, regardless of number or type of the arguments. ???",,"https://www.google.com/search?q=Array.of(element1, element2, element3)",,,
334,Native ArrayMethods,What does  <code>Array.from(array)</code> do?,,Creates a new Array instance from an array-like or iterable object. good for arguments to array,,https://www.google.com/search?q=Array.from(array),,,
335,Array Methods,What does  <code>lastIndexOf()</code> do?,,"Search the array for an element, starting at the end, and returns its position",,https://www.google.com/search?q=lastIndexOf(),,,
336,Array Methods,What does  <code>slice()</code> do?,,Slices out a piece of an array into a new array,,https://www.google.com/search?q=slice(),,,
337,Array Methods,What does  <code>concat()</code> do?,,Creates a new array by concatenating two arrays,,https://www.google.com/search?q=concat(),,,
338,Array Methods,What does  <code>reverse()</code> do?,,Reverses the elements in an array,,https://www.google.com/search?q=reverse(),,,
339,Array Methods,What does  <code>sort()</code> do?,,Method sorts an array alphabetically. DOES NOT WORK FOR NUMBERS!,,https://www.google.com/search?q=sort(),,,
340,Array Methods,What does  <code>splice()</code> do?,,Adds/removes new items to an array.The first parameter defines the position where new elements should be added (spliced in).The second parameter defines how many elements should be removed.The rest of the parameters define the new elements to be added.,,https://www.google.com/search?q=splice(),,,
341,Array Methods,What does  <code>delete array[0];</code> do?,,Changes the first element in an array to undefined,,https://www.google.com/search?q=delete array[0];,,,
342,Array Methods,What does  <code>.length</code> do?,,Returns the number of elements in an array,,https://www.google.com/search?q=.length,,,
343,Array Methods,What does  <code>unshift()</code> do?,,"Adds a new element to an array (at the beginning), and ""unshifts"" older elements. The unshift() method returns the new array length.",,https://www.google.com/search?q=unshift(),,,
344,Array Methods,What does  <code>shift()</code> do?,,"Removes the first element of an array, and ""shifts"" all other elements one place down. The shift() method returns the string that was ""shifted out"".",,https://www.google.com/search?q=shift(),,,
345,Array Methods,What does  <code>push()</code> do?,,Adds a new element to an array (at the end),,https://www.google.com/search?q=push(),,,
346,Array Methods,What does  <code>pop()</code> do?,,Removes the last element from an array,,https://www.google.com/search?q=pop(),,,
347,Array Methods,What does  <code>join()</code> do?,,Joins all array elements into a string using a specified separator,,https://www.google.com/search?q=join(),,,
348,Array Methods,What does  <code>toString()</code> do?,,returns an array as a string,,https://www.google.com/search?q=toString(),,,
349,Array Methods,What does  <code>valueOf()</code> do?,,Returns an array as a comma separated string,,https://www.google.com/search?q=valueOf(),,,
350,Native ArrayMethods,What does  <code>array.sort()</code> do?,,"Sorts the elements of an array in place and returns the array. The sort is not necessarily stable. The default sort order is according to string Unicode code points -- meaning?
automatically sorts strings alphabetically, you need to give custom callback to accurately sort numbers",,https://www.google.com/search?q=array.sort(),,,
351,Native ArrayMethods,What does  <code>array.some()</code> do?,,Tests whether some element in the array passes the test implemented by the provided function.,,https://www.google.com/search?q=array.some(),,,
352,Native ArrayMethods,What does  <code>array.slice()</code> do?,,Returns a shallow copy of a portion of an array into a new array object.,,https://www.google.com/search?q=array.slice(),,,
353,Native ArrayMethods,What does  <code>array.unshift()</code> do?,,Adds one or more elements to the beginning of an array and returns the new length of the array.,,https://www.google.com/search?q=array.unshift(),,,
354,Native ArrayMethods,What does  <code>array.shift()</code> do?,,Removes the first element from an array and returns that element. This method changes the length of the array.,,https://www.google.com/search?q=array.shift(),,,
355,Native ArrayMethods,What does  <code>array.reverse()</code> do?,,Reverses an array in place. The first array element becomes the last and the last becomes the first.,,https://www.google.com/search?q=array.reverse(),,,
356,Native ArrayMethods,What does  <code>array.reduceRight()</code> do?,,Method applies a function against an accumulator and each value of the array (from right-to-left) has to reduce it to a single value. (reverse reduce),,https://www.google.com/search?q=array.reduceRight(),,,
357,Native ArrayMethods,What does  <code>array.push()</code> do?,,Adds one or more elements to the end of an array and returns the new length of the array.,,https://www.google.com/search?q=array.push(),,,
358,Misc,What does  <code>Function Example</code> do?,,"function sayHello(){alert (""hello everyone!"");}",,https://www.google.com/search?q=Function Example,,,
359,Native ArrayMethods,What does  <code>array.pop()</code> do?,,Removes the last element from an array and returns that element.,,https://www.google.com/search?q=array.pop(),,,
360,Native ArrayMethods,What does  <code>array.keys();</code> do?,,Returns a new Array Iterator that contains the keys for each index in the array. ???,,https://www.google.com/search?q=array.keys();,,,
361,Native ArrayMethods,What does  <code>str = array.join() -- takes seperator</code> do?,,Joins all elements of an array into a string.,,https://www.google.com/search?q=str = array.join() -- takes seperator,,,
362,Native ArrayMethods,What does  <code>array.indexOf(element)</code> do?,,"Returns the first index at which a given element can be found in the array, or -1 if it is not present",,https://www.google.com/search?q=array.indexOf(element),,,
363,Native ArrayMethods,What does  <code>array.forEach()</code> do?,,Executes a provided function once per array element.,,https://www.google.com/search?q=array.forEach(),,,
364,Native ArrayMethods,What does  <code>array.findIndex(takes callback or element)</code> do?,,"Returns an index in the array, if an element in the array satisfies the provided testing function. Otherwise -1 is returned.",,https://www.google.com/search?q=array.findIndex(takes callback or element),,,
365,Native ArrayMethods,What does  <code>array.find(callback)</code> do?,,"Returns a value in the array, if an element in the array satisfies the provided testing function. Otherwise undefined is returned.",,https://www.google.com/search?q=array.find(callback),,,
366,Native ArrayMethods,"What does  <code>array.includes(element, index)</code> do?",,"Determines whether an array includes a certain element, returning true or false as appropriate.",,"https://www.google.com/search?q=array.includes(element, index)",,,
367,Native ArrayMethods,What does  <code>array.reduce()</code> do?,,Applies a function against an accumulator and each value of the array (from left-to-right) to reduce it to a single value.,,https://www.google.com/search?q=array.reduce(),,,
368,Native ArrayMethods,"What does  <code>inclusive indexarray.lastIndexOf(element, index)</code> do?",,"returns the last index at which a given element can be found in the array, or -1 if it is not present. The array is searched backwards, starting at given index.",,"https://www.google.com/search?q=inclusive indexarray.lastIndexOf(element, index)",,,
369,Native ArrayMethods,What does  <code>array.splice()</code> do?,,Changes the content of an array by removing existing elements and/or adding new elements.,,https://www.google.com/search?q=array.splice(),,,
370,Misc,What does  <code>What are the 2 types of Numbers within Datatypes?</code> do?,,"Integer: Whole Number (-1, 450)Float:Decimal Point (0.1, 12.454)",,https://www.google.com/search?q=What are the 2 types of Numbers within Datatypes?,,,
371,Misc,What does  <code>Can a statement be grouped into useable blocks called functions?</code> do?,,Yes.,,https://www.google.com/search?q=Can a statement be grouped into useable blocks called functions?,,,
372,Misc,What does  <code>JS Statement</code> do?,,"A command that tells the browser what to do.document.write(""hello world"");var myName=""lorna"";",,https://www.google.com/search?q=JS Statement,,,
373,Misc,What does  <code>Is JS case sensitive?</code> do?,,Yes,,https://www.google.com/search?q=Is JS case sensitive?,,,
374,Misc,What does  <code>How do you add JS To your site internally?</code> do?,,Internally using html <script></script> tag. Best practice to place it before closing body tag .,,https://www.google.com/search?q=How do you add JS To your site internally?,,,
375,Misc,What does  <code>What are the two ways to add JS to your site?</code> do?,,Internally and Externally.,,https://www.google.com/search?q=What are the two ways to add JS to your site?,,,
376,Misc,What does  <code>What is DOM?</code> do?,,Representation of HTML Page....,,https://www.google.com/search?q=What is DOM?,,,
377,Misc,What does  <code>Dynamic Typing</code> do?,,Dynamic if the type of variable is interpreted at runtime.,,https://www.google.com/search?q=Dynamic Typing,,,
378,Misc,What does  <code>Prototype Based</code> do?,,Each object has a prototype that it inherits properties and abilities from,,https://www.google.com/search?q=Prototype Based,,,
379,Misc,What does  <code>What is best practice regarding variable declarations?</code> do?,,Put variable declarations as close to the top of the scope as possible.,,https://www.google.com/search?q=What is best practice regarding variable declarations?,,,
380,Misc,"What does  <code>What is Variable ""Hoisting""?</code> do?",,Variables are hoisted to the top of the function/statement. It is useful because you can refer to variables declared later in the code.,,"https://www.google.com/search?q=What is Variable ""Hoisting""?",,,
381,Misc,What does  <code>What are the properties of Global Scope?</code> do?,,"Outside a function, available to any code outside that function (also within).",,https://www.google.com/search?q=What are the properties of Global Scope?,,,
382,Misc,What does  <code>What are the properties of a Local Scope?</code> do?,,"Within a function, only available within function",,https://www.google.com/search?q=What are the properties of a Local Scope?,,,
383,Misc,What does  <code>Two types of variable scope?</code> do?,,Local and Global,,https://www.google.com/search?q=Two types of variable scope?,,,
384,Misc,What does  <code>How do you declare variables?</code> do?,,"using the var keyword - eg. var myName=""Monica"";",,https://www.google.com/search?q=How do you declare variables?,,,
385,Misc,What does  <code>Are variables case sensitive?</code> do?,,Yes,,https://www.google.com/search?q=Are variables case sensitive?,,,
386,Misc,What does  <code>What is a variable?</code> do?,,Container for a piece of data,,https://www.google.com/search?q=What is a variable?,,,
387,Native ArrayMethods,What does  <code>array.values()</code> do?,,Returns a new Array Iterator object that contains the values for each index in the array.,,https://www.google.com/search?q=array.values(),,,
388,Native ArrayMethods,What does  <code>array.toString()</code> do?,,Returns a string representing the specified array and its elements.??,,https://www.google.com/search?q=array.toString(),,,
389,Misc,What does  <code>What must a variable begin with?</code> do?,,"A letter, $ or _",,https://www.google.com/search?q=What must a variable begin with?,,,
390,Misc,What does  <code>What will an undeclared variable return?</code> do?,,Undefined,,https://www.google.com/search?q=What will an undeclared variable return?,,,
391,Misc,What does  <code>DOM</code> do?,,Document Object model.,,https://www.google.com/search?q=DOM,,,
392,Misc,What does  <code>How do you add JS to your site externally?</code> do?,,Add by externally linking to .js files.,,https://www.google.com/search?q=How do you add JS to your site externally?,,,
393,Misc,What does  <code>Datatypes</code> do?,,"Numbers, Strings, Boolean, Arrays, Objects.",,https://www.google.com/search?q=Datatypes,,,
394,Misc,What does  <code>What are Strings within Datatypes?</code> do?,,"A line of text: ""frog"", ""a red truck""",,https://www.google.com/search?q=What are Strings within Datatypes?,,,
395,Misc,What does  <code>What kind of value does Boolean take?</code> do?,,True or False,,https://www.google.com/search?q=What kind of value does Boolean take?,,,
396,Misc,What does  <code>Loops</code> do?,,"Repetitive Conditional statements.Used to perform a calculation a number of times, or to iterate over a set of variables.",,https://www.google.com/search?q=Loops,,,
397,Misc,What does  <code>Three main types of Loops</code> do?,,For: Set Number of IterationsWhile: Certain conditions are metDo...While: Certain condition is met,,https://www.google.com/search?q=Three main types of Loops,,,
398,Misc,What does  <code>For Loop Example</code> do?,,Repeats until a specific condition becomes false,,https://www.google.com/search?q=For Loop Example,,,
399,Misc,What does  <code>While Loop Example</code> do?,,Iterate while the condition is truewhile (condition) {do this thing},,https://www.google.com/search?q=While Loop Example,,,
400,Misc,What does  <code>Do While Loop</code> do?,,Iterate while the condition is truedo {... this thing} while(condition);,,https://www.google.com/search?q=Do While Loop,,,
401,Misc,What does  <code>Function</code> do?,,"Re-useable blocks of instructions that can be executed by name.-Perform common tasks-saves time, reduces errorfunction functionName (data) {repeat action herereturn outcome}",,https://www.google.com/search?q=Function,,,
402,Misc,What does  <code>console.log(THING_TO_OUTPUT)</code> do?,,"A built-in JavaScript function that will push messages to the browsers error console. It is a very useful tool for debugging code, for seeing how variables are changing in your code. You can output strings, numbers, variables, objects, arrays and combinations of these for inspection.",,https://www.google.com/search?q=console.log(THING_TO_OUTPUT),,,
403,Misc,What does  <code>Math.random()</code> do?,,"Generates a random floating point number between 0 & 1. To convert this to a number range that we want - for example a random number between 1 & 10. First we multiply the result of Math.random() by 10 (the amount of potential numbers from 1 to 10) - this will give us numbers that range from 0 to 9.99999. Because Math.random() won't ever return the whole number 1 and to remove the decimal places, we use Math.ceil()to round the result of Math.random()*10 up to the nearest whole number. See more on the Math object.",,https://www.google.com/search?q=Math.random(),,,
404,Misc,What does  <code>What type of language is JavaScript?</code> do?,,It is a scripting language.,,https://www.google.com/search?q=What type of language is JavaScript?,,,
405,Misc,What does  <code>What is a scripting language?</code> do?,,A scripting language is a lightweight programming language.,,https://www.google.com/search?q=What is a scripting language?,,,
406,Misc,"What does  <code>What would be the result of the following code?<script>document.write(""<h1>This is a heading</h1>"");document.write(""<p>This is a paragraph</p>"");</script></code> do?",,It will write what is between the <h1> and <p> tags to the browser screen formatted accordingly to the respective HTML tags,,"https://www.google.com/search?q=What would be the result of the following code?<script>document.write(""<h1>This is a heading</h1>"");document.write(""<p>This is a paragraph</p>"");</script>",,,
407,Misc,"What does  <code>What happens if you call the ""document.write"" function after the document has fully loaded?</code> do?",,The html document will be deleted and replaced by your new content.,,"https://www.google.com/search?q=What happens if you call the ""document.write"" function after the document has fully loaded?",,,
408,Misc,What does  <code>The alert() function is not much used in JavaScript. What is it is useful for?</code> do?,,It is often quite handy for trying out code.,,https://www.google.com/search?q=The alert() function is not much used in JavaScript. What is it is useful for?,,,
409,Misc,What does  <code>What is an Array?</code> do?,,"Used to store multiple values in a single variable.Real [""blue"", ""5"", ""123456""]Refer to the whole array using its variable nameArrays are indexed from 0",,https://www.google.com/search?q=What is an Array?,,,
410,Misc,What are Objects?,,"Objects are custom datatypes with properties and actions.  In Js, nearly everything is an object with keys and values.",,https://developer.mozilla.org/en-US/docs/Learn/JavaScript/Objects,,,
411,Misc,What does  <code>Operators</code> do?,,Used to assign values to variables and perform mathematical operations on them,,https://www.google.com/search?q=Operators,,,
412,Misc,What does  <code>Math Based Operators</code> do?,,Comparison Operators,,https://www.google.com/search?q=Math Based Operators,,,
